Trade_ID,Entry_Time,Entry_Candle_Time,Exit_Time,Exit_Candle_Time,Duration_Minutes,Symbol,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Premium_Entry_Price,Premium_Exit_Price,Premium_Stop_Loss,Premium_Take_Profit,Quantity,Exit_Reason,Outcome,Gross_PnL,Brokerage_Taxes,Net_PnL,Capital_Balance,AI_Confidence,Signal_Reason,Post_Mortem,Market_Context
20260824161501660358,2026-08-24 21:45:01,2026-08-24 16:05:00,2026-08-24 22:05:04,2026-08-24 16:25:00,20.05,BTCUSDT_OPT_CALL_5958627,CALL,79340.22,79668.00,78864.18,80292.30,1586.80,1750.69,1348.78,2062.84,0.002059,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.34,-$0.01,$+0.33,26.24,0.527,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.53)","WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.33. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.53). Recorded context: rsi=51.030858995306076, vwap_diff=0.013006433186241437, body_ratio=0.2145217087106987.","{""rsi"": 51.030858995306076, ""vwap_diff"": 0.013006433186241437, ""body_ratio"": 0.2145217087106987}"
20260824162005012334,2026-08-24 21:50:05,2026-08-24 16:10:00,2026-08-24 22:10:07,2026-08-24 16:35:00,20.03,BTCUSDT_OPT_CALL_5958628,CALL,79488.00,79630.01,79011.07,80441.86,1589.76,1660.76,1351.30,2066.69,0.002084,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.15,-$0.01,$+0.14,26.38,0.344,Model confidence 0.34 below 0.60 threshold or predicted HOLD,"WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.14. Entry rationale: Model confidence 0.34 below 0.60 threshold or predicted HOLD. Recorded context: rsi=54.98636335207064, vwap_diff=0.0148544097630797, body_ratio=0.7623026926648013.","{""rsi"": 54.98636335207064, ""vwap_diff"": 0.0148544097630797, ""body_ratio"": 0.7623026926648013}"
20260824163006224325,2026-08-24 22:00:06,2026-08-24 16:25:00,2026-08-24 22:20:11,2026-08-24 16:45:00,20.08,BTCUSDT_OPT_PUT_5958630,PUT,79668.00,79293.18,80146.01,78711.98,1593.36,1780.77,1832.36,1115.35,0.002136,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),LOSS,$-0.40,-$0.01,$-0.41,25.97,0.585,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.59)","LOSS: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=-0.41. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.59). Recorded context: rsi=57.2641566217074, vwap_diff=0.016847926435520747, body_ratio=0.5534332854110539.","{""rsi"": 57.2641566217074, ""vwap_diff"": 0.016847926435520747, ""body_ratio"": 0.5534332854110539}"
20260824163504550028,2026-08-24 22:05:04,2026-08-24 16:25:00,2026-08-24 22:25:04,2026-08-24 16:50:00,20.00,BTCUSDT_OPT_PUT_5958631,PUT,79668.00,78945.31,80146.01,78711.98,1593.36,1954.71,1832.36,1115.35,0.002168,STOP_LOSS_HIT,LOSS,$-0.78,-$0.01,$-0.79,25.18,0.585,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.59)","LOSS: Stop-loss was reached before the take-profit. Net P&L=-0.79. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.59). Recorded context: rsi=57.2641566217074, vwap_diff=0.016847926435520747, body_ratio=0.5534332854110539.","{""rsi"": 57.2641566217074, ""vwap_diff"": 0.016847926435520747, ""body_ratio"": 0.5534332854110539}"
20260824164007418185,2026-08-24 22:10:07,2026-08-24 16:35:00,2026-08-24 22:25:04,2026-08-24 16:50:00,14.95,BTCUSDT_OPT_PUT_5958632,PUT,79630.01,78945.31,80107.79,78674.45,1592.60,1934.95,1831.49,1114.82,0.002197,STOP_LOSS_HIT,LOSS,$-0.75,-$0.01,$-0.76,24.42,0.444,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.44)","LOSS: Stop-loss was reached before the take-profit. Net P&L=-0.76. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.44). Recorded context: rsi=55.89545557609393, vwap_diff=0.016270229658484812, body_ratio=0.32486353002341906.","{""rsi"": 55.89545557609393, ""vwap_diff"": 0.016270229658484812, ""body_ratio"": 0.32486353002341906}"
20260824164503653890,2026-08-24 22:15:03,2026-08-24 16:40:00,2026-08-24 22:37:09,2026-08-24 17:00:00,22.10,BTCUSDT_OPT_PUT_5958633,PUT,79371.01,78848.47,79847.24,78418.56,1587.42,1848.69,1825.53,1111.19,0.002216,STOP_LOSS_HIT,LOSS,$-0.58,-$0.01,$-0.59,23.83,0.366,"SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.37)","LOSS: Stop-loss was reached before the take-profit. Net P&L=-0.59. Entry rationale: SELL rejected: 1H HTF trend is BULLISH (model wanted PUT, confidence 0.37). Recorded context: rsi=48.186421530735174, vwap_diff=0.012902397352937819, body_ratio=0.9884737223770482.","{""rsi"": 48.186421530735174, ""vwap_diff"": 0.012902397352937819, ""body_ratio"": 0.9884737223770482}"
20260824165504239614,2026-08-24 22:25:04,2026-08-24 16:50:00,2026-08-24 22:45:05,2026-08-24 17:10:00,20.02,BTCUSDT_OPT_PUT_5958635,PUT,78945.31,79103.97,79418.98,77997.96,1578.91,1499.58,1815.75,1105.24,0.002193,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.17,-$0.01,$+0.16,23.99,0.33,Model confidence 0.33 below 0.60 threshold or predicted HOLD,"WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.16. Entry rationale: Model confidence 0.33 below 0.60 threshold or predicted HOLD. Recorded context: rsi=38.25927247364938, vwap_diff=0.00729695265700192, body_ratio=0.7962233920805676.","{""rsi"": 38.25927247364938, ""vwap_diff"": 0.00729695265700192, ""body_ratio"": 0.7962233920805676}"
20260824171005893902,2026-08-24 22:40:05,2026-08-24 17:05:00,2026-08-24 22:55:04,2026-08-24 17:20:00,14.98,BTCUSDT_OPT_CALL_5958638,CALL,79176.69,78599.68,78701.63,80126.81,1583.53,1295.02,1346.00,2058.59,0.002006,STOP_LOSS_HIT,LOSS,$-0.58,-$0.00,$-0.58,23.41,0.499,Model confidence 0.50 below 0.60 threshold or predicted HOLD,"LOSS: Stop-loss was reached before the take-profit. Net P&L=-0.58. Entry rationale: Model confidence 0.50 below 0.60 threshold or predicted HOLD. Recorded context: rsi=46.60051485828643, vwap_diff=0.010010828502808935, body_ratio=0.952438989002062.","{""rsi"": 46.60051485828643, ""vwap_diff"": 0.010010828502808935, ""body_ratio"": 0.952438989002062}"
20260824171505897005,2026-08-24 22:45:05,2026-08-24 17:10:00,2026-08-24 22:55:04,2026-08-24 17:20:00,9.98,BTCUSDT_OPT_CALL_5958639,CALL,79103.97,78599.68,78629.35,80053.22,1582.08,1329.93,1344.77,2056.70,0.002008,STOP_LOSS_HIT,LOSS,$-0.51,-$0.00,$-0.51,22.90,0.417,"Paper experiment: directional probability 0.42; strict filter status body=0.67, ADX=20.9, HTF=BULLISH","LOSS: Stop-loss was reached before the take-profit. Net P&L=-0.51. Entry rationale: Paper experiment: directional probability 0.42; strict filter status body=0.67, ADX=20.9, HTF=BULLISH. Recorded context: rsi=45.022346339496494, vwap_diff=0.009059708789267396, body_ratio=0.6662696958592305.","{""rsi"": 45.022346339496494, ""vwap_diff"": 0.009059708789267396, ""body_ratio"": 0.6662696958592305}"
20260824170709723483,2026-08-24 22:37:09,2026-08-24 17:00:00,2026-08-24 22:57:11,2026-08-24 17:20:00,20.03,BTCUSDT_OPT_PUT_5958637,PUT,78848.47,78599.68,79321.56,77902.29,1576.97,1701.37,1813.52,1103.88,0.002065,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),LOSS,$-0.26,-$0.01,$-0.27,22.63,0.384,Model confidence 0.38 below 0.60 threshold or predicted HOLD,"LOSS: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=-0.27. Entry rationale: Model confidence 0.38 below 0.60 threshold or predicted HOLD. Recorded context: rsi=37.40461945233292, vwap_diff=0.005867313197153822, body_ratio=0.4361748729630288.","{""rsi"": 37.40461945233292, ""vwap_diff"": 0.005867313197153822, ""body_ratio"": 0.4361748729630288}"
20260824172005730907,2026-08-24 22:50:05,2026-08-24 17:15:00,2026-08-24 23:10:11,2026-08-24 17:35:00,20.10,BTCUSDT_OPT_PUT_5958640,PUT,78992.00,78802.01,79465.95,78044.10,1579.84,1674.84,1816.82,1105.89,0.002025,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),LOSS,$-0.19,-$0.00,$-0.19,22.44,0.41,Model confidence 0.41 below 0.60 threshold or predicted HOLD,"LOSS: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=-0.19. Entry rationale: Model confidence 0.41 below 0.60 threshold or predicted HOLD. Recorded context: rsi=42.62850556518838, vwap_diff=0.0075934165923874745, body_ratio=0.2730998146160811.","{""rsi"": 42.62850556518838, ""vwap_diff"": 0.0075934165923874745, ""body_ratio"": 0.2730998146160811}"
20260824173000582569,2026-08-24 23:00:00,2026-08-24 17:20:00,2026-08-24 23:20:04,2026-08-24 17:45:00,20.07,BTCUSDT_OPT_PUT_5958642,PUT,78599.68,78729.01,79071.28,77656.49,1571.99,1507.32,1807.79,1100.39,0.001919,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.12,-$0.00,$+0.12,22.56,0.555,Model confidence 0.56 below 0.60 threshold or predicted HOLD,"WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.12. Entry rationale: Model confidence 0.56 below 0.60 threshold or predicted HOLD. Recorded context: rsi=35.5051866381186, vwap_diff=0.002555931494736603, body_ratio=0.797398373983754.","{""rsi"": 35.5051866381186, ""vwap_diff"": 0.002555931494736603, ""body_ratio"": 0.797398373983754}"
20260824173510864983,2026-08-24 23:05:10,2026-08-24 17:30:00,2026-08-24 23:25:10,2026-08-24 17:50:00,20.00,BTCUSDT_OPT_CALL_5958643,CALL,78560.58,78692.92,78089.22,79503.31,1571.21,1637.38,1335.53,2042.57,0.00192,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),WIN,$+0.13,-$0.00,$+0.13,22.69,0.476,Model confidence 0.48 below 0.60 threshold or predicted HOLD,"WIN: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=0.13. Entry rationale: Model confidence 0.48 below 0.60 threshold or predicted HOLD. Recorded context: rsi=35.10809226163002, vwap_diff=0.002032919080390094, body_ratio=0.0788662303240229.","{""rsi"": 35.10809226163002, ""vwap_diff"": 0.002032919080390094, ""body_ratio"": 0.0788662303240229}"
20260824174004100551,2026-08-24 23:10:04,2026-08-24 17:35:00,2026-08-24 23:30:07,2026-08-24 17:55:00,20.05,BTCUSDT_OPT_CALL_5958644,CALL,78802.01,78761.14,78329.20,79747.63,1576.04,1555.61,1339.63,2048.85,0.001915,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),LOSS,$-0.04,-$0.00,$-0.04,22.65,0.381,Model confidence 0.38 below 0.60 threshold or predicted HOLD,"LOSS: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=-0.04. Entry rationale: Model confidence 0.38 below 0.60 threshold or predicted HOLD. Recorded context: rsi=42.291356972474844, vwap_diff=0.005099234478974208, body_ratio=0.8214419380082003.","{""rsi"": 42.291356972474844, ""vwap_diff"": 0.005099234478974208, ""body_ratio"": 0.8214419380082003}"
20260824174501708947,2026-08-24 23:15:01,2026-08-24 17:35:00,2026-08-24 23:35:03,2026-08-24 17:55:00,20.03,BTCUSDT_OPT_CALL_5958645,CALL,78802.01,78761.14,78329.20,79747.63,1576.04,1555.61,1339.63,2048.85,0.001898,MAX_TIME_EXPIRATION_EXIT (20 Mins Limit),LOSS,$-0.04,-$0.00,$-0.04,22.61,0.381,Model confidence 0.38 below 0.60 threshold or predicted HOLD,"LOSS: Position closed with exit reason: MAX_TIME_EXPIRATION_EXIT (20 Mins Limit). Net P&L=-0.04. Entry rationale: Model confidence 0.38 below 0.60 threshold or predicted HOLD. Recorded context: rsi=42.291356972474844, vwap_diff=0.005099234478974208, body_ratio=0.8214419380082003.","{""rsi"": 42.291356972474844, ""vwap_diff"": 0.005099234478974208, ""body_ratio"": 0.8214419380082003}"
